last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,sprint_speed,OPS_Plus_Name,OPS_Plus,UBR_Name,UBR,wRC_Plus_Name,wRC_Plus
Abreu, Jose,2016,0.284,0.473,0.35600000000000004,0.34700000000000003,0.18899999999999997,89.7,10.3,32.7,40,7.9,5.3,25.8,20.3,36.4,3.1,39.4,68.1,14.4,37.5,37.5,62.5,211,562,55.6,1498,72.3,7.1,238,1623,764,2695,85.6,117,815,44.4,1197,41.1,1107,23.8,51.1,33.1,37.6,29.3,508,59.3,45.3,230,20.7,105,27.6,140,6.5,33,1,25.6,José Abreu\abreujo02,124.0, Abreu,-2.7, Abreu,121
Alonso, Yonder,2016,0.263,0.409,0.325,0.32799999999999996,0.146,88.6,11.2,33.3,17,4.1,7.5,24.8,24.3,34.0,2.9,37.4,68.2,10.6,25.6,35.5,64.5,88,248,51.5,969,82.5,7.3,278,1135,461,1883,89.4,66,623,48.5,914,42.3,796,17.7,46.3,37.6,37.4,25.0,412,61.7,45.4,187,19.4,80,28.2,116,7.0,29,0,24.6,Yonder Alonso*\alonsyo01,88.0, Alonso,-1.5, Alonso,87
Altuve, Jose,2016,0.326,0.537,0.396,0.389,0.212,88.3,11.4,39.5,40,6.9,6.6,29.7,19.8,31.2,3.1,36.4,70.0,10.3,30.5,24.9,75.1,103,413,54.8,1355,78.8,6.7,282,1437,674,2474,89.7,81,783,45.2,1118,41.2,1018,15.4,48.3,39.5,41.0,19.5,580,61.2,43.4,252,22.2,129,30.0,174,4.3,25,53,28.4,Jose Altuve\altuvjo01,155.0, Altuve,-0.9, Altuve,152
Andrus, Elvis,2016,0.285,0.392,0.331,0.349,0.107,87.4,9.0,32.4,8,1.8,5.4,27.5,20.8,39.8,3.4,31.8,59.7,10.3,24.8,32.1,67.9,79,246,47.6,992,67.4,9.1,204,1316,513,2083,89.7,67,651,52.4,1091,41.6,866,16.3,43.1,38.5,39.4,22.1,447,64.1,49.0,219,17.2,77,27.3,122,6.5,29,1,27.4,Elvis Andrus\andruel01,110.0, Andrus,3.1, Andrus,109
Arenado, Nolan,2016,0.266,0.483,0.35200000000000004,0.34,0.217,89.5,18.6,32.7,47,9.0,5.5,22.0,32.9,27.3,1.7,39.6,67.0,12.5,32.0,30.4,69.6,143,471,53.8,1473,71.0,6.7,282,1582,824,2743,87.5,106,848,46.2,1266,42.1,1153,18.9,48.1,41.7,37.3,21.0,523,60.2,35.6,186,25.8,135,27.9,146,10.7,56,1,26.3,Nolan Arenado\arenano01,129.0, Arenado,0.3, Arenado,126
Bautista, Jose,2016,0.255,0.439,0.366,0.386,0.184,91.5,14.6,30.6,27,8.3,8.3,24.4,27.5,27.8,2.8,45.7,56.4,13.5,18.8,42.4,57.6,92,217,52.6,1155,71.9,6.3,234,1235,687,2195,86.5,79,587,47.4,1040,42.6,936,21.3,36.6,46.0,39.2,14.8,324,56.1,39.5,128,22.2,72,25.0,81,13.3,43,0,25.3,Jose Bautista\bautijo02,118.0, Bautista,-1.5, Bautista,123
Belt, Brandon,2016,0.268,0.499,0.38799999999999996,0.39299999999999996,0.231,87.3,21.3,42.7,45,11.3,7.0,27.1,29.6,16.1,5.8,32.4,77.8,17.1,23.3,46.8,53.2,166,355,56.1,1526,92.0,6.5,331,1691,682,2721,82.9,159,930,43.9,1195,42.6,1158,25.3,47.2,35.4,34.4,30.2,398,56.3,27.4,109,29.9,119,35.4,141,7.3,29,0,26.4,Brandon Belt*\beltbr01,135.0, Belt,-3.2, Belt,136
Beltran, Carlos,2016,0.272,0.44,0.32799999999999996,0.317,0.168,90.2,12.6,32.5,31,6.8,4.0,25.7,27.0,34.3,1.1,38.5,66.1,12.9,28.5,32.6,67.4,111,340,54.5,1193,73.5,6.9,359,1279,503,2188,87.1,85,658,45.5,995,42.2,924,19.6,45.6,43.7,34.1,22.2,455,58.5,42.4,193,22.2,101,26.6,121,8.8,40,0,25.7,Carlos Beltran#\beltrca01,122.0, Beltran,-2.0, Beltran,122
Beltre, Adrian,2016,0.298,0.523,0.379,0.358,0.225,90.1,14.5,34.2,44,8.5,5.6,25.0,27.9,30.2,2.1,40.4,64.7,11.0,34.4,22.3,77.7,99,443,52.8,1289,70.6,7.0,318,1395,682,2443,89.0,82,746,47.2,1153,40.3,984,15.2,48.7,36.9,37.5,25.6,520,60.3,41.2,214,24.0,125,25.2,131,9.6,50,0,25.9,Adrian Beltre\beltrad01,128.0, Beltre,-1.3, Beltre,127
Betts, Mookie,2016,0.28600000000000003,0.456,0.34700000000000003,0.337,0.17,89.8,12.5,31.9,31,5.2,6.7,23.0,26.5,35.7,1.8,39.9,57.4,6.9,22.9,34.9,65.1,102,292,47.0,1273,70.2,7.9,278,1594,779,2709,93.1,57,824,53.0,1436,43.2,1169,14.2,41.2,37.7,35.9,26.4,599,60.8,41.7,250,23.4,140,24.9,149,10.0,60,12,27.9,Mookie Betts\bettsmo01,133.0, Betts,6.7, Betts,136
Blackmon, Charlie,2016,0.3,0.489,0.368,0.361,0.19,87.7,15.2,39.1,33,6.8,5.6,28.0,25.9,27.3,3.5,33.5,63.4,10.6,31.7,28.9,71.1,126,436,52.6,1375,63.8,5.8,330,1641,610,2614,89.4,83,785,47.4,1239,42.2,1104,17.1,46.7,41.4,33.1,25.5,483,54.6,35.6,172,22.2,107,35.0,169,7.2,35,1,27.7,Charlie Blackmon*\blackch02,130.0, Blackmon,1.9, Blackmon,132
Bogaerts, Xander,2016,0.261,0.408,0.326,0.32799999999999996,0.147,89.0,11.0,28.0,28,5.3,4.7,24.2,24.6,37.6,2.1,32.7,58.4,11.8,32.4,34.5,65.5,160,464,50.2,1430,65.0,8.3,296,1647,858,2849,88.2,98,828,49.8,1419,43.2,1232,20.0,45.3,40.0,34.8,25.2,532,59.1,46.4,247,20.9,111,21.8,116,10.9,58,10,28.3,Xander Bogaerts\bogaexa01,111.0, Bogaerts,3.8, Bogaerts,114
