last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,hp_to_1b,sprint_speed,OPS_Plus_Name,OPS_Plus,UBR_Name,UBR,wRC_Plus_Name,wRC_Plus
Abreu, Jose,2018.0,0.281,0.498,0.361,0.344,0.218,91.3,12.2,35.4,36.0,9.1,7.6,27.8,21.5,32.3,1.8,45.2,64.9,15.9,34.9,39.0,61.0,152.0,390.0,53.0,1118.0,72.4,6.4,180.0,1257.0,670.0,2108.0,84.1,102.0,643.0,47.0,990.0,41.5,874.0,24.6,49.0,35.6,43.2,21.2,396.0,62.4,44.2,175.0,19.9,79.0,28.3,112.0,7.6,30.0,0.0,4.53,26.7,José Abreu\abreujo02,117.0, Abreu,-0.7, Abreu,115.0
Aguilar, Jesus,2018.0,0.256,0.498,0.363,0.341,0.24100000000000002,89.8,16.2,38.2,41.0,11.4,7.2,26.5,26.5,24.2,4.2,42.9,59.6,19.4,33.9,42.0,58.0,190.0,452.0,54.9,1335.0,67.5,6.3,239.0,1432.0,760.0,2432.0,80.6,127.0,654.0,45.1,1097.0,41.4,1007.0,28.7,45.5,39.3,36.5,24.2,359.0,58.1,35.7,128.0,32.0,115.0,26.2,94.0,6.1,22.0,0.0,4.68,24.7,Jesus Aguilar\aguilje01,135.0, Aguilar,-2.4, Aguilar,134.0
Ahmed, Nick,2018.0,0.24100000000000002,0.377,0.29600000000000004,0.29600000000000004,0.136,86.9,11.9,36.3,21.0,5.1,5.8,24.9,27.4,31.7,4.1,30.0,71.2,16.2,29.9,46.1,53.9,149.0,323.0,51.0,1082.0,81.5,7.6,179.0,1270.0,674.0,2124.0,83.8,120.0,741.0,49.0,1041.0,43.5,924.0,25.4,50.1,35.1,39.2,25.7,413.0,65.4,41.6,172.0,24.5,101.0,27.4,113.0,6.5,27.0,2.0,4.35,28.2,Nick Ahmed\ahmedni01,83.0, Ahmed,0.9, Ahmed,85.0
Albies, Ozzie,2018.0,0.253,0.41100000000000003,0.311,0.298,0.158,86.8,16.1,34.0,25.0,4.7,6.6,24.1,30.9,29.2,3.0,29.4,81.7,16.0,32.4,37.0,63.0,148.0,400.0,51.8,1234.0,88.3,6.5,474.0,1271.0,626.0,2386.0,84.0,150.0,939.0,48.2,1150.0,42.0,1002.0,22.2,56.2,38.9,37.0,24.1,527.0,63.5,39.5,208.0,27.3,144.0,23.9,126.0,9.3,49.0,28.0,4.07,28.7,Ozzie Albies#\albieoz01,101.0, Albies,4.0, Albies,101.0
Alonso, Yonder,2018.0,0.258,0.451,0.33799999999999997,0.326,0.193,87.8,15.7,36.9,39.0,9.8,5.0,26.6,25.9,27.1,3.0,37.5,73.0,17.8,30.4,41.8,58.2,147.0,352.0,53.3,1159.0,85.4,6.9,340.0,1189.0,641.0,2201.0,82.2,132.0,742.0,46.7,1017.0,42.4,923.0,25.4,50.3,39.7,38.4,21.9,398.0,57.3,39.9,159.0,24.4,97.0,24.9,99.0,10.8,43.0,0.0,4.95,23.3,Yonder Alonso*\alonsyo01,98.0, Alonso,-1.4, Alonso,97.0
Altuve, Jose,2018.0,0.29100000000000004,0.461,0.361,0.364,0.17,87.2,10.1,34.0,27.0,5.9,5.2,24.8,22.0,36.2,4.1,33.8,67.8,11.7,30.0,29.7,70.3,102.0,344.0,54.1,1147.0,75.3,6.9,264.0,1248.0,601.0,2123.0,88.3,77.0,659.0,45.9,972.0,42.9,910.0,17.9,47.3,34.0,45.3,20.7,459.0,67.8,48.1,221.0,22.4,103.0,25.5,117.0,3.9,18.0,53.0,4.13,28.1,Jose Altuve\altuvjo01,130.0, Altuve,3.7, Altuve,134.0
Anderson, Brian,2018.0,0.261,0.41200000000000003,0.33799999999999997,0.34700000000000003,0.15,90.2,8.7,29.2,27.0,5.8,6.0,27.0,19.2,39.3,2.4,42.4,68.2,18.3,23.3,43.0,57.0,129.0,300.0,48.9,1289.0,75.5,8.3,291.0,1566.0,778.0,2641.0,81.7,168.0,919.0,51.1,1348.0,42.9,1130.0,24.3,46.2,35.0,39.3,25.7,463.0,58.2,52.3,242.0,18.8,87.0,23.3,108.0,5.6,26.0,0.0,4.44,27.1,Brian Anderson\anderbr06,110.0, Anderson,2.9, Anderson,112.0
Anderson, Tim,2018.0,0.228,0.36700000000000005,0.28,0.271,0.139,85.8,10.8,33.3,20.0,4.7,5.4,24.1,24.8,35.9,4.0,27.9,73.0,17.9,35.9,47.0,53.0,190.0,404.0,51.2,1125.0,70.6,7.0,164.0,1277.0,756.0,2200.0,82.1,140.0,784.0,48.8,1074.0,42.6,936.0,27.8,54.0,38.8,35.2,26.0,423.0,63.7,47.5,201.0,22.9,97.0,24.1,102.0,5.4,23.0,41.0,4.2,28.7,Tim Anderson\anderti01,87.0, Anderson,2.8, Anderson,86.0
Andujar, Miguel,2018.0,0.281,0.447,0.331,0.314,0.166,89.2,12.2,34.6,30.0,6.3,5.6,25.4,25.4,34.8,2.3,36.5,72.1,11.1,36.0,35.2,64.8,142.0,403.0,52.5,1121.0,73.9,7.5,266.0,1130.0,730.0,2135.0,88.9,81.0,730.0,47.5,1013.0,43.6,930.0,19.7,53.1,42.5,34.6,22.9,480.0,66.3,44.2,212.0,22.7,109.0,24.0,115.0,9.2,44.0,3.0,4.31,27.8,Miguel Andujar\andujmi01,130.0, Andujar,0.2, Andujar,130.0
Arenado, Nolan,2018.0,0.267,0.47600000000000003,0.355,0.35,0.21,89.9,15.4,35.6,35.0,7.4,8.4,25.1,26.7,30.9,1.3,40.5,72.5,18.8,30.2,36.8,63.2,154.0,418.0,53.5,1386.0,80.5,6.3,254.0,1554.0,779.0,2592.0,81.2,164.0,873.0,46.5,1204.0,40.2,1042.0,24.6,49.8,35.6,41.1,23.4,475.0,58.4,40.4,192.0,24.4,116.0,26.5,126.0,8.6,41.0,0.0,4.57,25.7,Nolan Arenado\arenano01,133.0, Arenado,1.2, Arenado,132.0
