Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Bryce Harper,Nationals,654,19.0%,20.0%,0.95,0.330,0.460,0.649,1.109,0.319,3.1,0.369,3.5,0.9,-0.8,151,77.3,0.461,197,11579
Joey Votto,Reds,695,20.6%,19.4%,1.06,0.314,0.459,0.541,1.000,0.228,3.7,0.371,-2.6,0.9,0.6,141,63.1,0.427,174,4314
Paul Goldschmidt,Diamondbacks,695,17.0%,21.7%,0.78,0.321,0.435,0.570,1.005,0.249,4.6,0.382,1.6,-0.4,1.8,136,57.9,0.418,163,9218
Mike Trout,Angels,682,13.5%,23.2%,0.58,0.299,0.402,0.590,0.991,0.290,5.0,0.344,2.6,1.3,-0.9,132,55.4,0.415,171,10155
Miguel Cabrera,Tigers,511,15.1%,16.0%,0.94,0.338,0.440,0.534,0.974,0.196,1.9,0.384,-2.7,-1.5,-0.5,98,40.9,0.413,164,1744
Josh Donaldson,Blue Jays,711,10.3%,18.7%,0.55,0.297,0.371,0.568,0.939,0.271,4.5,0.314,3.6,-0.4,0.8,128,47.9,0.398,154,5038
Nelson Cruz,Mariners,655,9.0%,25.0%,0.36,0.302,0.369,0.566,0.936,0.264,2.5,0.350,-3.8,1.6,-0.5,117,43.3,0.396,158,2434
Edwin Encarnacion,Blue Jays,624,12.3%,15.7%,0.79,0.277,0.372,0.557,0.929,0.280,2.4,0.267,-1.7,0.4,-0.5,109,39.0,0.392,150,2151
Chris Davis,Orioles,670,12.5%,31.0%,0.40,0.262,0.361,0.562,0.923,0.300,1.9,0.319,-1.7,2.1,-1.1,116,40.9,0.390,149,9272
Jose Bautista,Blue Jays,666,16.5%,15.9%,1.04,0.250,0.377,0.536,0.913,0.285,4.5,0.237,2.0,-0.5,0.5,115,40.1,0.389,148,1887
Anthony Rizzo,Cubs,701,11.1%,15.0%,0.74,0.278,0.387,0.512,0.899,0.234,4.9,0.289,-0.6,1.8,0.7,118,39.6,0.384,145,3473
Andrew McCutchen,Pirates,685,14.3%,19.4%,0.74,0.292,0.401,0.488,0.889,0.196,4.2,0.339,-1.5,0.6,-0.2,114,36.7,0.380,144,9847
David Peralta,Diamondbacks,517,8.5%,20.7%,0.41,0.312,0.371,0.522,0.893,0.210,5.6,0.368,2.6,0.9,0.0,86,27.5,0.380,137,2136
David Ortiz,Red Sox,614,12.5%,15.5%,0.81,0.273,0.360,0.553,0.913,0.280,0.9,0.264,-4.2,-0.5,-0.6,101,32.1,0.379,139,745
Matt Carpenter,Cardinals,665,12.2%,22.7%,0.54,0.272,0.365,0.505,0.871,0.233,3.8,0.321,-0.1,2.1,-0.7,106,31.4,0.372,139,8090
J.D. Martinez,Tigers,657,8.1%,27.1%,0.30,0.282,0.344,0.535,0.879,0.253,3.1,0.339,-2.7,0.8,-0.5,105,31.0,0.372,136,6184
Nolan Arenado,Rockies,665,5.1%,16.5%,0.31,0.287,0.323,0.575,0.898,0.287,3.5,0.284,1.6,-0.9,-1.8,106,30.8,0.371,121,9777
