last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,hp_to_1b,sprint_speed,
Pujols, Albert,2019,.253,.433,.322,.317,.180,88.3,12.6,26.5,25,5.8,3.7,23.7,27.8,34.3,3.2,36.6,59.7,11.1,30.7,30.2,69.8,100,331,52.7,1077,67.4,7.0,184,1182,677,2085,88.9,64,577,47.3,967,42.7,872,18.2,44.5,45.7,35.7,18.6,431,56.3,46.2,199,26.7,115,16.9,73,10.2,44,0,5.02,22.5,
Cabrera, Miguel,2019,.272,.443,.336,.340,.171,90.3,12.3,38.2,25,6.4,7.2,30.3,21.5,32.6,1.3,44.7,67.9,14.7,33.9,41.0,59.0,151,368,54.1,1087,75.5,7.5,179,1207,621,2033,85.3,92,626,45.9,922,42.7,857,24.4,49.6,30.0,37.2,32.8,390,62.7,44.9,175,22.3,87,27.9,109,4.9,19,0,4.95,23.5,
Choo, Shin-Soo,2019,.266,.480,.365,.373,.214,91.9,9.2,32.1,35,8.8,9.0,28.1,16.8,33.1,3.3,49.0,64.1,21.0,20.1,55.7,44.3,151,271,50.1,1348,74.5,7.3,397,1500,788,2707,79.0,180,859,49.9,1341,42.7,1149,29.5,42.0,36.1,39.6,24.3,399,59.2,50.6,202,22.3,89,23.6,94,3.5,14,0,4.35,26.6,
Jones, Adam,2019,.258,.434,.321,.313,.177,86.1,13.4,31.3,26,6.7,5.4,23.8,24.8,34.1,5.2,31.0,71.6,15.1,39.1,45.8,54.2,185,404,53.7,1033,73.6,6.3,186,1122,614,1923,84.9,96,637,46.3,890,43.3,832,27.0,54.1,39.3,38.0,22.5,387,62.2,43.9,170,25.8,100,21.2,82,9.0,35,0,4.48,26.8,
Cruz, Nelson,2019,.294,.643,.420,.382,.349,93.7,13.1,38.3,65,19.9,8.3,20.6,20.2,28.8,2.1,51.5,69.8,21.8,27.3,54.5,45.5,175,321,55.5,1174,83.0,7.2,221,1171,722,2114,78.2,143,656,44.5,940,40.3,852,32.5,46.2,38.3,36.2,25.5,326,54.8,40.5,132,24.8,81,27.0,88,7.7,25,0,4.73,25.3,
Longoria, Evan,2019,.276,.504,.360,.345,.228,89.7,14,35.8,26,7.5,8.4,25.1,24.9,32.4,1.7,40.8,64.6,21.2,30.1,35.0,65.0,109,311,51.3,1032,77.2,6.3,223,1197,591,2018,78.8,134,632,48.7,979,42.7,858,25.7,46.8,37.3,40.5,22.3,346,60.4,41.0,142,26.6,92,27.2,94,5.2,18,0,4.54,26.4,
Fowler, Dexter,2019,.254,.430,.344,.361,.176,85.5,12.9,40.3,26,7.4,4.6,28.0,24.0,30.6,3.4,28.7,66.4,21.2,23.0,42.2,57.8,127,301,54.7,1307,78.4,6.4,429,1379,580,2417,78.8,152,718,45.3,1081,44.2,1056,27.2,42.6,36.9,39.1,24.0,350,59.9,39.4,138,26.0,91,28.6,100,6.0,21,1,4.29,27.7,
Cabrera, Asdrubal,2019,.241,.418,.323,.329,.177,89.1,14.4,37.3,20,5.7,6.3,26.2,29.3,30.2,1.7,35.3,66.0,16.3,25.2,32.0,68.0,85,266,50.6,1057,70.6,6.5,298,1252,539,2089,83.7,111,681,49.4,1032,45.1,943,20.7,45.3,46.2,32.2,21.7,351,58.0,38.7,136,27.1,95,27.9,98,6.3,22,0,4.68,25.4,
Blackmon, Charlie,2019,.301,.532,.373,.354,.232,88.7,14.5,36.8,40,8.3,7.9,26.4,24.1,29.5,3.1,40.3,70.2,13.7,30.2,32.5,67.5,119,366,51.3,1211,76.1,6.7,323,1489,549,2362,86.3,111,808,48.7,1151,45.1,1066,19.6,49.7,39.3,35.3,25.4,481,62.0,40.3,194,26.8,129,26.6,128,6.2,30,0,4.35,26.8,
Cain, Lorenzo,2019,.292,.422,.340,.355,.130,89.4,6.6,31.3,19,4.1,5.2,27.8,17.4,43.0,2.4,42.1,65.3,9.9,25.2,41.4,58.3,133,321,51.6,1272,72.1,7.3,231,1654,578,2508,90.1,77,778,48.4,1191,42.5,1046,19.2,44.7,27.4,40.2,32.4,460,60.4,50.9,234,16.7,77,27.2,125,5.2,24,13,4.25,27.8,
Turner, Justin,2019,.290,.524,.382,.375,.235,90.3,17.8,38.9,31,7.8,9.3,28.8,28.3,23.7,1.8,43.0,66.5,13.1,24.5,27.8,72.2,73,263,50.3,1073,80.6,7.3,238,1317,576,2151,86.9,92,704,49.7,1059,41.1,877,17.1,45.4,34.6,39.4,26.0,396,58.7,34.8,138,29.8,118,28.8,114,6.6,26,0,4.56,26.1,
Votto, Joey,2019,.261,.451,.350,.360,.190,88.8,15.3,40.7,28,6.9,5.7,28.4,29.1,26.2,2.0,38.2,65.4,13.7,18.5,37.1,62.9,85,229,51.9,1241,79.5,7.4,320,1507,562,2458,86.3,103,752,48.1,1149,45.1,1078,19.6,41.5,35.3,39.5,25.2,405,59.0,37.8,153,30.1,122,28.9,117,3.2,13,0,4.78,25.0,
Gardner, Brett,2019,.241,.375,.306,.320,.134,87.7,13.9,28.8,15,3.9,6.0,22.8,29.5,32.1,3.1,32.6,55.3,11.3,22.0,39.8,60.2,105,264,51.2,1198,64.2,8.0,304,1481,553,2381,88.7,71,630,48.8,1140,40.2,939,19.7,38.3,44.3,36.3,19.4,386,53.5,45.1,174,20.7,80,23.1,89,11.1,43,13,4.06,28.9,
Braun, Ryan,2019,.271,.482,.347,.331,.212,91.4,7.1,33.6,35,9.8,5.3,22.1,19.0,42.0,1.4,45.3,72.0,13.1,34.5,43.8,56.3,154,352,55.2,1019,85.4,5.2,202,1210,435,1875,86.9,78,596,44.8,828,42.9,792,24.9,51.5,36.4,39.8,23.8,357,61.6,49.6,177,19.3,69,25.5,91,5.6,20,0,4.47,26.6,
Gordon, Alex,2019,.262,.437,.339,.344,.176,88.7,9.3,33.7,25,5.4,5.8,23.1,23.3,36.3,5.0,38.4,70.6,14.3,26.6,41.0,59.0,132,322,51.5,1210,81.3,6.6,325,1394,629,2350,85.7,115,803,48.5,1138,43.1,1013,22.0,47.9,36.9,37.8,25.3,463,59.6,46.9,217,24.0,111,27.0,125,2.2,10,0,4.59,25.4,
Andrus, Elvis,2019,.275,.407,.316,.318,.132,88.4,7.3,32.5,18,3.5,4.5,28.4,20.6,41.1,1.6,34.8,61.0,9.6,32.6,37.1,62.9,156,420,51.4,1288,65.0,6.5,239,1376,892,2528,90.4,71,743,48.6,1219,42.4,1062,19.6,46.4,30.0,43.6,26.5,514,63.7,52.3,269,18.7,96,24.3,125,4.7,24,0,4.40,26.7,
Ramos, Wilson,2019,.264,.405,.318,.331,.140,90,-0.1,25.8,19,4.7,3.7,27.0,12.8,49.1,2.7,42.5,74.9,13.8,34.1,34.4,65.6,104,302,51.5,886,81.5,7.8,175,1093,452,1720,86.2,86,625,48.5,834,40.2,692,20.5,53.9,32.2,43.7,24.1,407,64.1,63.4,258,13.8,56,19.9,81,2.9,12,0,4.96,22.9,
